application_id,event_time,customer_id,region_code,product_type,requested_amount,term_months,credit_score,risk_level,decision_status,approved_amount,channel,employee_review_flag,processing_time_sec
app_20250114_00000000,2025-01-14 16:34:45,cust_9088130,ITMI,auto_loan,30148,24,469,high,rejected,0,atm,false,56
app_20250114_00000001,2025-01-14 21:39:28,cust_4713206,DEHE,mortgage,150893,360,655,medium,rejected,0,call_center,false,103
app_20250114_00000002,2025-01-14 03:04:15,cust_2966945,DEHE,business_loan,21223,60,663,medium,rejected,0,online_banking,false,24
app_20250114_00000003,2025-01-14 15:49:54,cust_5571295,SESV,mortgage,404340,180,564,medium,rejected,0,atm,false,34
app_20250114_00000004,2025-01-14 19:20:03,cust_4514700,ESMA,personal_loan,8985,42,666,medium,approved,8985,online_banking,false,280
app_20250114_00000005,2025-01-14 18:59:03,cust_1163511,ESMA,cash_loan,20104,18,614,medium,approved,20104,online_banking,true,805
app_20250114_00000006,2025-01-14 18:46:22,cust_5770188,CHBE,auto_loan,48858,36,657,medium,rejected,0,atm,true,104
app_20250114_00000007,2025-01-14 19:52:00,cust_7599092,PORP,business_loan,8761,60,588,medium,rejected,0,atm,true,69
app_20250114_00000008,2025-01-14 03:55:45,cust_3994249,ESMA,credit_card,37947,18,597,medium,approved,37947,call_center,false,256
app_20250114_00000009,2025-01-14 17:23:08,cust_526499,ITMI,personal_loan,38962,24,682,medium,rejected,0,web,false,24
app_20250114_00000010,2025-01-14 08:45:18,cust_2652413,AUTR,education_loan,2530,24,506,medium,rejected,0,web,false,161
app_20250114_00000011,2025-01-14 04:56:29,cust_8273817,NLAM,refinance,267665,120,618,medium,rejected,0,online_banking,true,9
app_20250114_00000012,2025-01-14 20:30:10,cust_5893254,ESMA,cash_loan,46780,36,785,low,approved,46780,web,false,107
app_20250114_00000013,2025-01-14 19:44:28,cust_5510574,ATVI,auto_loan,51606,60,694,medium,rejected,0,mobile,true,148
app_20250114_00000014,2025-01-14 20:04:36,cust_931531,ITMI,personal_loan,31030,30,612,medium,approved,31030,partner,true,96
app_20250114_00000015,2025-01-14 18:14:40,cust_1515968,BENL,education_loan,38828,36,747,low,approved,38828,partner,true,45
app_20250114_00000016,2025-01-14 18:18:57,cust_9536601,CHBE,refinance,217600,300,640,medium,rejected,0,mobile_app,false,129
app_20250114_00000017,2025-01-14 22:32:35,cust_6950962,ITMI,refinance,475259,120,552,medium,approved,475259,atm,true,749
app_20250114_00000018,2025-01-14 10:26:34,cust_2823585,NLAM,mortgage,112004,240,556,medium,rejected,0,mobile_app,false,149
app_20250114_00000019,2025-01-14 16:42:56,cust_7347441,CHBE,credit_card,40482,36,611,medium,approved,40482,mobile_app,false,419
app_20250114_00000020,2025-01-14 09:40:19,cust_9986858,FRID,credit_card,34933,30,671,medium,approved,34933,atm,true,181
app_20250114_00000021,2025-01-14 20:27:01,cust_431562,BENL,business_loan,12865,12,737,low,approved,12865,call_center,false,759
app_20250114_00000022,2025-01-14 19:12:45,cust_484090,UKLO,credit_card,36159,48,800,low,approved,36159,branch,true,214
app_20250114_00000023,2025-01-14 02:26:28,cust_4899371,CZPR,business_loan,25881,48,612,medium,rejected,0,call_center,false,160
app_20250114_00000024,2025-01-14 02:23:54,cust_8626808,NLAM,cash_loan,27434,18,620,medium,approved,27434,call_center,false,622
app_20250114_00000025,2025-01-14 16:52:17,cust_5241129,UKLO,personal_loan,31771,12,761,low,approved,31771,web,true,229
app_20250114_00000026,2025-01-14 03:02:39,cust_181499,UKLO,mortgage,79912,120,577,medium,rejected,0,online_banking,false,54
app_20250114_00000027,2025-01-14 16:48:36,cust_4669068,NLAM,credit_card,45147,48,731,low,approved,45147,partner,false,416
app_20250114_00000028,2025-01-14 02:04:11,cust_1686257,CHBE,personal_loan,15902,24,677,medium,rejected,0,partner,true,160
app_20250114_00000029,2025-01-14 06:07:11,cust_345398,GRRE,cash_loan,35523,36,642,medium,rejected,0,mobile,false,127
app_20250114_00000030,2025-01-14 21:54:25,cust_1811227,PLWA,credit_card,4789,30,806,low,rejected,0,mobile_app,false,64
app_20250114_00000031,2025-01-14 19:03:12,cust_311076,DEHE,personal_loan,35737,30,743,low,approved,35737,atm,false,264
app_20250114_00000032,2025-01-14 18:49:24,cust_4259071,DEHE,cash_loan,32241,36,639,medium,rejected,0,online_banking,false,138
app_20250114_00000033,2025-01-14 23:07:04,cust_8727600,GRRE,credit_card,10435,36,681,medium,approved,10435,call_center,false,190
app_20250114_00000034,2025-01-14 08:03:21,cust_1052527,ITMI,business_loan,7049,48,569,medium,approved,7049,online_banking,true,231
app_20250114_00000035,2025-01-14 03:39:10,cust_8554652,CZPR,auto_loan,49472,60,708,low,approved,49472,mobile,true,96
app_20250114_00000036,2025-01-14 13:15:57,cust_753455,AUTR,mortgage,105503,120,556,medium,approved,105503,online_banking,true,159
app_20250114_00000037,2025-01-14 14:28:52,cust_5906364,ESMA,education_loan,13175,24,781,low,approved,13175,online_banking,true,422
app_20250114_00000038,2025-01-14 06:40:07,cust_9648677,PLWA,education_loan,8534,36,494,high,rejected,0,web,false,79
app_20250114_00000039,2025-01-14 18:09:20,cust_4502317,AUTR,business_loan,24323,48,787,low,approved,24323,mobile_app,false,39
app_20250114_00000040,2025-01-14 16:24:32,cust_2598551,PLWA,cash_loan,47120,12,708,low,approved,47120,mobile_app,false,358
app_20250114_00000041,2025-01-14 22:38:47,cust_1891494,GRRE,personal_loan,49853,18,610,medium,rejected,0,mobile,false,106
app_20250114_00000042,2025-01-14 11:32:59,cust_3893979,GRRE,auto_loan,36838,36,507,medium,rejected,0,web,false,106
app_20250114_00000043,2025-01-14 23:12:06,cust_2331449,SESV,personal_loan,29752,48,722,low,approved,29752,mobile,false,45
app_20250114_00000044,2025-01-14 06:25:25,cust_4063519,GRRE,personal_loan,23074,18,826,low,approved,23074,call_center,true,891
app_20250114_00000045,2025-01-14 19:06:52,cust_2850560,ATVI,cash_loan,49801,12,461,high,rejected,0,mobile,true,80
